dayno,dow,sums1,sums2,cc
7,2,0,300,48
8,3,0,289,43
9,4,0,304,35
10,5,0,304,44
11,6,0,295,34
12,0,0,279,58
13,1,0,301,50
14,2,300,312,34
15,3,289,298,47
16,4,304,302,41
17,5,304,308,77
18,6,295,341,36
19,0,279,343,38
20,1,301,323,46
21,2,312,319,54
22,3,298,339,47
23,4,302,339,79
24,5,308,377,63
25,6,341,363,32
26,0,343,359,42
27,1,323,363,42
28,2,319,359,58
29,3,339,363,50
30,4,339,366,52
31,5,377,339,66
32,6,363,342,53
33,0,359,363,38
34,1,363,359,61
35,2,359,378,45
36,3,363,365,44
37,4,366,359,61
38,5,339,368,71
39,6,342,373,51
40,0,363,371,49
41,1,359,382,44
42,2,378,365,40
43,3,365,360,49
44,4,359,365,59
45,5,368,363,41
46,6,373,333,37
47,0,371,319,36
48,1,382,306,45
49,2,365,307,48
50,3,360,315,53
51,4,365,319,49
52,5,363,309,56
53,6,333,324,42
54,0,319,329,38
55,1,306,331,59
56,2,307,345,59
57,3,315,356,46
58,4,319,349,49
59,5,309,349,45
60,6,324,338,27
61,0,329,323,41
62,1,331,326,47
63,2,345,314,57
64,3,356,312,50
65,4,349,316,66
66,5,349,333,58
67,6,338,346,37
68,0,323,356,50
69,1,326,365,61
70,2,314,379,52
71,3,312,374,48
72,4,316,372,49
73,5,333,355,52
74,6,346,349,55
75,0,356,367,62
76,1,365,379,75
77,2,379,393,59
78,3,374,400,86
79,4,372,438,67
80,5,355,456,60
81,6,349,464,44
82,0,367,453,58
83,1,379,449,42
84,2,393,416,61
85,3,400,418,60
86,4,438,392,56
87,5,456,381,62
88,6,464,383,31
89,0,453,370,34
90,1,449,346,60
91,2,416,364,55
92,3,418,358,58
93,4,392,356,47
94,5,381,347,45
95,6,383,330,53
96,0,370,352,47
97,1,346,365,54
98,2,364,359,55
99,3,358,359,46
100,4,356,347,69
101,5,347,369,43
102,6,330,367,47
103,0,352,361,67
104,1,365,381,40
105,2,359,367,45
106,3,359,357,38
107,4,347,349,53
108,5,369,333,46
109,6,367,336,42
110,0,361,331,38
111,1,381,302,49
112,2,367,311,68
113,3,357,334,50
114,4,349,346,46
115,5,333,339,52
116,6,336,345,44
117,0,331,347,51
118,1,302,360,44
119,2,311,355,49
120,3,334,336,72
121,4,346,358,61
122,5,339,373,46
123,6,345,367,42
124,0,347,365,48
125,1,360,362,49
126,2,355,367,50
127,3,336,368,56
128,4,358,352,52
129,5,373,343,54
130,6,367,351,40
131,0,365,349,54
132,1,362,355,54
133,2,367,360,44
134,3,368,354,79
135,4,352,377,62
136,5,343,387,43
137,6,351,376,46
138,0,349,382,50
139,1,355,378,54
140,2,360,378,44
141,3,354,378,46
142,4,377,345,47
143,5,387,330,43
144,6,376,330,37
145,0,382,321,37
146,1,378,308,52
147,2,378,306,34
148,3,378,296,47
149,4,345,297,41
150,5,330,291,57
151,6,330,305,59
152,0,321,327,47
153,1,308,337,41
154,2,306,326,54
155,3,296,346,68
156,4,297,367,64
157,5,291,390,49
158,6,305,382,63
159,0,327,386,37
160,1,337,376,63
161,2,326,398,52
162,3,346,396,50
163,4,367,378,43
164,5,390,357,52
165,6,382,360,44
166,0,386,341,49
167,1,376,353,55
168,2,398,345,43
169,3,396,336,32
170,4,378,318,64
171,5,357,339,47
172,6,360,334,51
173,0,341,341,43
174,1,353,335,34
175,2,345,314,54
176,3,336,325,44
177,4,318,337,38
178,5,339,311,55
179,6,334,319,42
180,0,341,310,50
181,1,335,317,57
182,2,314,340,59
183,3,325,345,53
184,4,337,354,51
185,5,311,367,36
186,6,319,348,46
187,0,310,352,51
188,1,317,353,39
189,2,340,335,53
190,3,345,329,56
191,4,354,332,51
192,5,367,332,54
193,6,348,350,33
194,0,352,337,45
195,1,353,331,77
196,2,335,369,75
197,3,329,391,80
198,4,332,415,49
199,5,332,413,79
200,6,350,438,52
201,0,337,457,36
202,1,331,448,55
203,2,369,426,36
204,3,391,387,67
205,4,415,374,49
206,5,413,374,38
207,6,438,333,33
208,0,457,314,49
209,1,448,327,49
210,2,426,321,34
211,3,387,319,46
212,4,374,298,62
213,5,374,311,48
214,6,333,321,36
215,0,314,324,52
216,1,327,327,42
217,2,321,320,48
218,3,319,334,55
219,4,298,343,32
220,5,311,313,65
221,6,321,330,49
222,0,324,343,51
223,1,327,342,41
224,2,320,341,43
225,3,334,336,54
226,4,343,335,53
227,5,313,356,50
228,6,330,341,33
229,0,343,325,35
230,1,342,309,50
231,2,341,318,46
232,3,336,321,57
233,4,335,324,54
234,5,356,325,43
235,6,341,318,41
236,0,325,326,38
237,1,309,329,55
238,2,318,334,51
239,3,321,339,39
240,4,324,321,56
241,5,325,323,61
242,6,318,341,60
243,0,326,360,41
244,1,329,363,32
245,2,334,340,30
246,3,339,319,42
247,4,321,322,53
248,5,323,319,51
249,6,341,309,32
250,0,360,281,49
251,1,363,289,50
252,2,340,307,55
253,3,319,332,48
254,4,322,338,49
255,5,319,334,52
256,6,309,335,51
257,0,281,354,47
258,1,289,352,53
259,2,307,355,28
260,3,332,328,57
261,4,338,337,47
262,5,334,335,45
263,6,335,328,53
264,0,354,330,45
265,1,352,328,53
266,2,355,328,58
267,3,328,358,51
268,4,337,352,59
269,5,335,364,49
270,6,328,368,36
271,0,330,351,48
272,1,328,354,42
273,2,328,343,60
274,3,358,345,31
275,4,352,325,46
276,5,364,312,55
277,6,368,318,44
278,0,351,326,29
279,1,354,307,44
280,2,343,309,60
281,3,345,309,49
282,4,325,327,51
283,5,312,332,40
284,6,318,317,41
285,0,326,314,45
286,1,307,330,48
287,2,309,334,54
288,3,309,328,66
289,4,327,345,53
290,5,332,347,46
291,6,317,353,42
292,0,314,354,49
293,1,330,358,56
294,2,334,366,55
295,3,328,367,63
296,4,345,364,52
297,5,347,363,33
298,6,353,350,40
299,0,354,348,28
300,1,358,327,50
301,2,366,321,56
302,3,367,322,54
303,4,364,313,67
304,5,363,328,60
305,6,350,355,34
306,0,348,349,44
307,1,327,365,46
308,2,321,361,44
309,3,322,349,50
310,4,313,345,52
311,5,328,330,42
312,6,355,312,49
313,0,349,327,44
314,1,365,327,52
315,2,361,333,29
316,3,349,318,50
317,4,345,318,51
318,5,330,317,41
319,6,312,316,40
320,0,327,307,44
321,1,327,307,57
322,2,333,312,72
323,3,318,355,59
324,4,318,364,59
325,5,317,372,53
326,6,316,384,40
327,0,307,384,38
328,1,307,378,41
329,2,312,362,56
330,3,355,346,39
331,4,364,326,40
332,5,372,307,56
333,6,384,310,45
334,0,384,315,50
335,1,378,327,60
336,2,362,346,26
337,3,346,316,50
338,4,326,327,49
339,5,307,336,45
340,6,310,325,33
341,0,315,313,27
342,1,327,290,48
343,2,346,278,30
344,3,316,282,50
345,4,327,282,43
346,5,336,276,61
347,6,325,292,47
348,0,313,306,53
349,1,290,332,46
350,2,278,330,37
351,3,282,337,59
352,4,282,346,38
353,5,276,341,60
354,6,292,340,40
355,0,306,333,44
356,1,332,324,43
357,2,330,321,30
358,3,337,314,25
359,4,346,280,44
360,5,341,286,35
361,6,340,261,43
362,0,333,264,40
363,1,324,260,34
364,2,321,251,40
365,3,314,261,33
366,4,280,269,45
367,5,286,270,52
368,6,261,287,35
369,0,264,279,48
370,1,260,287,47
371,2,251,300,62
372,3,261,322,47
373,4,269,336,41
374,5,270,332,56
375,6,287,336,39
376,0,279,340,41
377,1,287,333,37
378,2,300,323,40
379,3,322,301,60
380,4,336,314,49
381,5,332,322,37
382,6,336,303,51
383,0,340,315,44
384,1,333,318,60
385,2,323,341,51
386,3,301,352,53
387,4,314,345,32
388,5,322,328,49
389,6,303,340,57
390,0,315,346,63
391,1,318,365,37
392,2,341,342,57
393,3,352,348,49
394,4,345,344,38
395,5,328,350,47
396,6,340,348,49
397,0,346,340,37
398,1,365,314,51
399,2,342,328,66
400,3,348,337,38
401,4,344,326,78
402,5,350,366,71
403,6,348,390,32
404,0,340,373,45
405,1,314,381,48
406,2,328,378,52
407,3,337,364,63
408,4,326,389,51
409,5,366,362,56
410,6,390,347,40
411,0,373,355,31
412,1,381,341,47
413,2,378,340,50
414,3,364,338,48
415,4,389,323,42
416,5,362,314,57
417,6,347,315,35
418,0,355,310,68
419,1,341,347,52
420,2,340,352,41
421,3,338,343,35
422,4,323,330,42
423,5,314,330,57
424,6,315,330,64
425,0,310,359,34
426,1,347,325,45
427,2,352,318,51
428,3,343,328,56
429,4,330,349,70
430,5,330,377,60
431,6,330,380,53
432,0,359,369,51
433,1,325,386,69
434,2,318,410,69
435,3,328,428,41
436,4,349,413,57
437,5,377,400,38
438,6,380,378,32
439,0,369,357,38
440,1,386,344,64
441,2,410,339,53
442,3,428,323,50
443,4,413,332,45
444,5,400,320,53
445,6,378,335,45
446,0,357,348,42
447,1,344,352,47
448,2,339,335,65
449,3,323,347,44
450,4,332,341,40
451,5,320,336,41
452,6,335,324,67
453,0,348,346,35
454,1,352,339,50
455,2,335,342,50
456,3,347,327,49
457,4,341,332,64
458,5,336,356,43
459,6,324,358,46
460,0,346,337,39
461,1,339,341,43
462,2,342,334,53
463,3,327,337,42
464,4,332,330,64
465,5,356,330,41
466,6,358,328,39
467,0,337,321,49
468,1,341,331,46
469,2,334,334,57
470,3,337,338,37
471,4,330,333,41
472,5,330,310,60
473,6,328,329,48
474,0,321,338,36
475,1,331,325,46
476,2,334,325,43
477,3,338,311,53
478,4,333,327,58
479,5,310,344,63
480,6,329,347,50
481,0,338,349,34
482,1,325,347,44
483,2,325,345,34
484,3,311,336,57
485,4,327,340,44
486,5,344,326,54
487,6,347,317,42
488,0,349,309,27
489,1,347,302,37
490,2,345,295,59
491,3,336,320,48
492,4,340,311,43
493,5,326,310,35
494,6,317,291,37
495,0,309,286,56
496,1,302,315,50
497,2,295,328,52
498,3,320,321,54
499,4,311,327,38
500,5,310,322,36
501,6,291,323,50
502,0,286,336,28
503,1,315,308,53
504,2,328,311,65
505,3,321,324,53
506,4,327,323,52
507,5,322,337,45
508,6,323,346,42
509,0,336,338,53
510,1,308,363,40
511,2,311,350,46
512,3,324,331,45
513,4,323,323,47
514,5,337,318,43
515,6,346,316,58
516,0,338,332,46
517,1,363,325,55
518,2,350,340,49
519,3,331,343,44
520,4,323,342,41
521,5,318,336,43
522,6,316,336,36
523,0,332,314,46
524,1,325,314,97
525,2,340,356,60
526,3,343,367,38
527,4,342,361,39
528,5,336,359,43
529,6,336,359,35
530,0,314,358,47
531,1,314,359,49
532,2,356,311,54
533,3,367,305,37
534,4,361,304,48
535,5,359,313,43
536,6,359,313,33
537,0,358,311,35
538,1,359,299,30
539,2,311,280,52
540,3,305,278,56
541,4,304,297,51
542,5,313,300,65
543,6,313,322,44
544,0,311,333,61
545,1,299,359,47
546,2,280,376,55
547,3,278,379,37
548,4,297,360,40
549,5,300,349,54
