dayno,dow,sums1,sums2,cc
3288,0,143,168,13
3289,1,149,155,24
3290,2,142,160,18
3291,3,151,152,18
3292,4,148,151,19
3293,5,150,146,15
3294,6,148,139,23
3295,0,168,130,16
3296,1,155,133,25
3297,2,160,134,19
3298,3,152,135,33
3299,4,151,150,26
3300,5,146,157,30
3301,6,139,172,24
3302,0,130,173,19
3303,1,133,176,21
3304,2,134,172,16
3305,3,135,169,16
3306,4,150,152,24
3307,5,157,150,21
3308,6,172,141,21
3309,0,173,138,24
3310,1,176,143,26
3311,2,172,148,31
3312,3,169,163,15
3313,4,152,162,16
3314,5,150,154,25
3315,6,141,158,16
3316,0,138,153,15
3317,1,143,144,20
3318,2,148,138,17
3319,3,163,124,18
3320,4,162,127,16
3321,5,154,127,17
3322,6,158,119,22
3323,0,153,125,28
3324,1,144,138,25
3325,2,138,143,30
3326,3,124,156,17
3327,4,127,155,25
3328,5,127,164,18
3329,6,119,165,19
3330,0,125,162,25
3331,1,138,159,23
3332,2,143,157,37
3333,3,156,164,34
3334,4,155,181,20
3335,5,164,176,18
3336,6,165,176,27
3337,0,162,184,23
3338,1,159,182,31
3339,2,157,190,19
3340,3,164,172,22
3341,4,181,160,28
3342,5,176,168,23
3343,6,176,173,22
3344,0,184,168,21
3345,1,182,166,32
3346,2,190,167,9
3347,3,172,157,26
3348,4,160,161,27
3349,5,168,160,18
3350,6,173,155,28
3351,0,168,161,27
3352,1,166,167,11
3353,2,167,146,22
3354,3,157,159,24
3355,4,161,157,16
3356,5,160,146,29
3357,6,155,157,28
3358,0,161,157,29
3359,1,167,159,21
3360,2,146,169,20
3361,3,159,167,26
3362,4,157,169,13
3363,5,146,166,23
3364,6,157,160,19
3365,0,157,151,30
3366,1,159,152,20
3367,2,169,151,26
3368,3,167,157,21
3369,4,169,152,36
3370,5,166,175,24
3371,6,160,176,19
3372,0,151,176,22
3373,1,152,168,24
3374,2,151,172,7
3375,3,157,153,26
3376,4,152,158,14
3377,5,175,136,27
3378,6,176,139,17
3379,0,176,137,10
3380,1,168,125,19
3381,2,172,120,22
3382,3,153,135,29
3383,4,158,138,20
3384,5,136,144,16
3385,6,139,133,17
3386,0,137,133,19
3387,1,125,142,14
3388,2,120,137,24
3389,3,135,139,21
3390,4,138,131,34
3391,5,144,145,24
3392,6,133,153,12
3393,0,133,148,31
3394,1,142,160,11
3395,2,137,157,10
3396,3,139,143,20
3397,4,131,142,29
3398,5,145,137,21
3399,6,153,134,19
3400,0,148,141,15
3401,1,160,125,30
3402,2,157,144,16
3403,3,143,150,10
3404,4,142,140,31
3405,5,137,142,19
3406,6,134,140,19
3407,0,141,140,27
3408,1,125,152,19
3409,2,144,141,23
3410,3,150,148,25
3411,4,140,163,22
3412,5,142,154,25
3413,6,140,160,23
3414,0,140,164,15
3415,1,152,152,31
3416,2,141,164,23
3417,3,148,164,24
3418,4,163,163,15
3419,5,154,156,28
3420,6,160,159,14
3421,0,164,150,24
3422,1,152,159,17
3423,2,164,145,17
3424,3,164,139,21
3425,4,163,136,25
3426,5,156,146,24
3427,6,159,142,18
3428,0,150,146,26
3429,1,159,148,11
3430,2,145,142,21
3431,3,139,146,28
3432,4,136,153,30
3433,5,146,158,30
3434,6,142,164,24
3435,0,146,170,10
3436,1,148,154,28
3437,2,142,171,24
3438,3,146,174,21
3439,4,153,167,20
3440,5,158,157,24
3441,6,164,151,22
3442,0,170,149,28
3443,1,154,167,17
3444,2,171,156,16
3445,3,174,148,16
3446,4,167,143,24
3447,5,157,147,20
3448,6,151,143,21
3449,0,149,142,25
3450,1,167,139,16
3451,2,156,138,24
3452,3,148,146,10
3453,4,143,140,14
3454,5,147,130,17
3455,6,143,127,18
3456,0,142,124,9
3457,1,139,108,14
3458,2,138,106,28
3459,3,146,110,20
3460,4,140,120,25
3461,5,130,131,25
3462,6,127,139,12
3463,0,124,133,21
3464,1,108,145,26
3465,2,106,157,25
3466,3,110,154,22
3467,4,120,156,19
3468,5,131,150,12
3469,6,139,137,22
3470,0,133,147,23
3471,1,145,149,38
3472,2,157,161,27
3473,3,154,163,29
3474,4,156,170,20
3475,5,150,171,17
3476,6,137,176,11
3477,0,147,165,20
3478,1,149,162,15
3479,2,161,139,20
3480,3,163,132,15
3481,4,170,118,21
3482,5,171,119,22
3483,6,176,124,25
3484,0,165,138,14
3485,1,162,132,10
3486,2,139,127,13
3487,3,132,120,21
3488,4,118,126,21
3489,5,119,126,20
3490,6,124,124,25
3491,0,138,124,35
3492,1,132,145,13
3493,2,127,148,20
3494,3,120,155,19
3495,4,126,153,36
3496,5,126,168,22
3497,6,124,170,16
3498,0,124,161,14
3499,1,145,140,23
3500,2,148,150,20
3501,3,155,150,19
3502,4,153,150,28
3503,5,168,142,31
3504,6,170,151,20
3505,0,161,155,24
3506,1,140,165,20
3507,2,150,162,16
3508,3,150,158,23
3509,4,150,162,26
3510,5,142,160,19
3511,6,151,148,21
3512,0,155,149,22
3513,1,165,147,20
3514,2,162,147,22
3515,3,158,153,17
3516,4,162,147,27
3517,5,160,148,23
3518,6,148,152,20
3519,0,149,151,34
3520,1,147,163,14
3521,2,147,157,31
3522,3,153,166,13
3523,4,147,162,26
3524,5,148,161,22
3525,6,152,160,18
3526,0,151,158,23
3527,1,163,147,23
3528,2,157,156,20
3529,3,166,145,24
3530,4,162,156,12
3531,5,161,142,21
3532,6,160,141,13
3533,0,158,136,27
3534,1,147,140,22
3535,2,156,139,21
3536,3,145,140,27
3537,4,156,143,24
3538,5,142,155,26
3539,6,141,160,16
3540,0,136,163,11
3541,1,140,147,12
3542,2,139,137,14
3543,3,140,130,29
3544,4,143,132,10
3545,5,155,118,15
3546,6,160,107,11
3547,0,163,102,22
3548,1,147,113,8
3549,2,137,109,14
3550,3,130,109,11
3551,4,132,91,15
3552,5,118,96,18
3553,6,107,99,16
3554,0,102,104,17
3555,1,113,99,12
3556,2,109,103,12
3557,3,109,101,3
3558,4,91,93,0
3559,5,96,78,0
3560,6,99,60,0
